,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
2,0.002563,0.003844,0.001282,0.002563,0.002562,0.001281,0.002562,0.003845,0.001281,0.001281
3,0.019221,0.016658,0.01666,0.016656,0.021779,0.017935,0.017935,0.01666,0.014096,0.01922
4,0.021784,0.01794,0.017942,0.016656,0.021779,0.019217,0.019217,0.017942,0.015377,0.01922
5,0.023065,0.01794,0.01666,0.017938,0.019217,0.017935,0.020498,0.015379,0.016658,0.017939
6,0.024347,0.01794,0.017942,0.016656,0.020498,0.017935,0.017935,0.015379,0.016658,0.017939
7,0.023065,0.020503,0.017942,0.019219,0.017935,0.020498,0.019217,0.017942,0.01794,0.017939
8,0.021784,0.01794,0.017942,0.017938,0.017935,0.019217,0.019217,0.017942,0.016658,0.01922
9,0.023065,0.019221,0.01666,0.015375,0.015373,0.017935,0.017935,0.01666,0.016658,0.01922
10,0.021784,0.019221,0.017942,0.015375,0.012811,0.017935,0.016654,0.01666,0.016658,0.01922
11,0.024347,0.01794,0.01666,0.015375,0.014092,0.016654,0.016654,0.015379,0.016658,0.017939
12,0.024347,0.019221,0.01666,0.012813,0.010249,0.015373,0.014092,0.015379,0.01794,0.017939
13,0.023065,0.016658,0.015379,0.014094,0.010249,0.012811,0.014092,0.01666,0.01794,0.01922
14,0.021784,0.019221,0.014097,0.011531,0.007687,0.01153,0.015373,0.01666,0.016658,0.01922
15,0.023065,0.019221,0.015379,0.011531,0.007687,0.01153,0.01153,0.01666,0.01794,0.020501
16,0.021784,0.01794,0.015379,0.01025,0.006406,0.01153,0.012811,0.015379,0.01794,0.017939
17,0.023065,0.01794,0.014097,0.008969,0.003843,0.010249,0.01153,0.014097,0.016658,0.017939
18,0.024347,0.019221,0.015379,0.008969,0.003843,0.010249,0.008968,0.014097,0.016658,0.01922
19,0.023065,0.019221,0.014097,0.007688,0.001281,0.010249,0.008968,0.014097,0.01794,0.01922
20,0.023065,0.019221,0.014097,0.006406,0.001281,0.008968,0.008968,0.014097,0.01794,0.01922
21,0.021784,0.019221,0.012816,0.006406,0.0,0.006406,0.006406,0.014097,0.015377,0.017939
